activityId,name,type,desc,ageRange,venueId,venueName,bookingReqd,bookingNararrative,free,price,limitedCapacity,capacityNarrative,lat,long,narrative,contactLink,contactPhone,day,start,end
1058,Family Zumba,MUSICANDDANCE,Latin inspired dance session for parents and their children.,ANY,108,Southwark Park Playroom,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.492415,-0.049956,A latin inspired dance session for parents and their children.,none,020 7231 5687,THURSDAY,16:00,17:00
1059,Chatterbox,MUSICANDDANCE,Play sing rhymes and stories with support from a speech and language therapist.,YRS5ANDUNDER,109,Rotherhithe Children and Family Centre,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.492415,-0.049956,Play sing rhymes and stories with support from a speech and language therapist.,none,020 7231 3755,WEDNESDAY,13:00,15:00
1060,Baby stay and play,STAYANDPLAY,Play sessions for parents and their children aged 18 months and under.,YRS1ANDUNDER,109,Rotherhithe Children and Family Centre,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.492415,-0.049956,Play sessions for parents and their children aged 18 months and under.,none,020 7231 3755,FRIDAY,12:45,13:30
1061,Stay and play with messy play,STAYANDPLAY,Messy play activities.,YRS5ANDUNDER,109,Rotherhithe Children and Family Centre,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.492415,-0.049956,Play session for parents and their children focusing on messy play activities.,none,020 7231 3755,FRIDAY,13:30,15:30
1062,Bookstart,STORIES,Sing songs rhymes play with puppets and join in with storytelling.,YRS5ANDUNDER,105,First Floor Canada Water Library ,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.497672,-0.04908,Sing songs rhymes play with puppets and join in with storytelling.,none,020 7231 3755,MONDAY,10:00,11:30
1063,Rhyme Time Session,STORIES,Sing songs rhymes play with puppets and join in with storytelling.,YRS5ANDUNDER,105,First Floor Canada Water Library ,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.497672,-0.04908,Sing songs rhymes play with puppets and join in with storytelling.,none,020 7231 3755,TUESDAY,14:00,14:30
1064,Baby and Toddlers,STORIES,Sing songs rhymes play with puppets and join in with storytelling.,YRS5ANDUNDER,105,First Floor Canada Water Library ,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.497672,-0.04908,Sing songs rhymes play with puppets and join in with storytelling.,none,020 7231 3755,TUESDAY,14:00,14:30
1065,Little Bunnies,STORIES,Learn Mandarin through stories rhymes and play.,YRS5ANDUNDER,105,First Floor Canada Water Library ,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.497672,-0.04908,Learn Mandarin through stories rhymes and play.,none,020 7231 3755,WEDNESDAY,09:15,10:00
1066,Stay and Play,STAYANDPLAY,A drop in session where parents can have fun and make new friends,YRS5ANDUNDER,110,South Bermondsey Children's Centre,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.4904,-0.062606,A drop in session where parents can have fun and make new friends,ccadmin@pilgrimsway.southwark.sch.uk,020 7525 3013,WEDNESDAY,09:00,12:00
1067,FUDGE (fathers uncles dads granddads etc.),DADS,Male parents and carers to come and have fun with their little ones.,ANY,111,Ellen Brown Play Centre,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.494877,-0.073832,This session is for male parents and carers to come and have fun with their little ones.,office@kintoreway.southwark.sch.uk,020 7525 1196,SATURDAY,09:30,11:30
1068,Riverside parents and carers,PLAYGROUP,Soft play session for babies and toddlers,YRS5ANDUNDER,112,Salmon Centre,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.497228,-0.069712,Soft play session for babies and toddlers to burn off some energy and improve coordination.,none,020 7401 3382,MONDAY,14:30,16:00
1069,Bookstart,STORIES,Have fun playing and reading with their parents,YRS5ANDUNDER,113,Blue Anchor Library,FALSE,Just turn up,TRUE,0,FALSE,No limits,51.492926,-0.064104,Drop in session where children can have fun playing and reading with their parents. You can also join the library and borrow books.,none,020 7639 1995,MONDAY,10:00,11:30
